user_id,created_at,company_id,language,activated_at,state
0,2013-01-01 20:59,5737,english,2013-01-01 21:01,active
1,2013-01-01 13:07,28,english,,pending
2,2013-01-01 10:59,51,english,,pending
3,2013-01-01 18:40,2800,german,2013-01-01 18:42,active
4,2013-01-01 14:37,5110,indian,2013-01-01 14:39,active
5,2013-01-01 13:39,2463,spanish,,pending
6,2013-01-01 18:37,11699,english,2013-01-01 18:38,active
7,2013-01-01 16:19,4765,french,2013-01-01 16:20,active
8,2013-01-01 04:38,2698,french,2013-01-01 04:40,active
9,2013-01-01 08:04,1,french,,pending
10,2013-01-01 09:36,10,arabic,,pending
11,2013-01-01 08:07,3745,english,2013-01-01 08:09,active
12,2013-01-01 18:05,903,english,,pending
13,2013-01-02 12:27,4025,english,2013-01-02 12:29,active
14,2013-01-02 17:17,5077,portugese,,pending
15,2013-01-02 15:39,4259,english,2013-01-02 15:41,active
16,2013-01-02 17:45,10408,german,,pending
17,2013-01-02 10:56,5025,japanese,2013-01-02 10:57,active
18,2013-01-02 08:18,3,japanese,,pending
19,2013-01-02 09:54,326,english,2013-01-02 09:55,active
20,2013-01-02 09:41,7,italian,2013-01-02 09:43,active
21,2013-01-02 09:29,2606,english,2013-01-02 09:30,active
22,2013-01-02 17:36,545,german,2013-01-02 17:38,active
23,2013-01-02 20:04,15,english,,pending
24,2013-01-03 13:08,11301,english,,pending
25,2013-01-03 05:38,2,japanese,,pending
26,2013-01-03 12:11,9833,english,,pending
27,2013-01-03 16:14,6,japanese,2013-01-03 16:15,active
28,2013-01-03 09:53,1167,english,,pending
29,2013-01-03 13:00,1208,english,,pending
30,2013-01-03 08:28,4148,english,2013-01-03 08:29,active
31,2013-01-03 15:45,39,arabic,2013-01-03 15:46,active
32,2013-01-03 15:55,6518,english,,pending
33,2013-01-03 12:16,10768,english,2013-01-03 12:18,active
34,2013-01-03 11:24,11353,japanese,,pending
35,2013-01-03 16:06,1891,english,2013-01-03 16:07,active
36,2013-01-03 11:51,2,english,2013-01-03 11:53,active
37,2013-01-03 07:13,7943,spanish,,pending
38,2013-01-04 08:51,7618,french,,pending
39,2013-01-04 08:53,6322,chinese,,pending
40,2013-01-04 12:59,361,english,,pending
41,2013-01-04 13:06,5049,english,,pending
42,2013-01-04 19:52,3,english,,pending
43,2013-01-04 13:40,1486,english,,pending
44,2013-01-04 13:52,706,japanese,,pending
45,2013-01-04 07:46,7432,japanese,,pending
46,2013-01-04 13:48,719,english,,pending
47,2013-01-04 10:39,1,indian,2013-01-04 10:41,active
48,2013-01-04 09:55,27,english,,pending
49,2013-01-05 14:33,8727,spanish,2013-01-05 14:34,active
50,2013-01-05 17:41,12526,spanish,2013-01-05 17:43,active
51,2013-01-05 21:57,11855,english,,pending
52,2013-01-06 13:35,6,english,2013-01-06 13:37,active
53,2013-01-06 01:29,13119,english,,pending
54,2013-01-06 02:52,2,english,2013-01-06 02:54,active
55,2013-01-06 14:35,2233,german,2013-01-06 14:37,active
56,2013-01-07 08:03,4224,english,,pending
57,2013-01-07 07:10,3184,portugese,,pending
58,2013-01-07 18:24,6855,german,,pending
59,2013-01-07 20:47,2296,chinese,2013-01-07 20:49,active
60,2013-01-07 18:11,3427,english,,pending
61,2013-01-07 11:54,9260,spanish,,pending
62,2013-01-07 18:12,4,japanese,,pending
63,2013-01-07 18:37,5,english,,pending
64,2013-01-07 09:56,9229,english,2013-01-07 09:57,active
65,2013-01-07 16:05,12736,portugese,,pending
66,2013-01-07 15:37,7927,french,2013-01-07 15:39,active
67,2013-01-07 13:46,10818,english,2013-01-07 13:47,active
68,2013-01-07 14:38,11005,spanish,,pending
69,2013-01-08 02:48,128,english,,pending
70,2013-01-08 18:57,502,english,,pending
71,2013-01-08 18:30,3640,japanese,,pending
72,2013-01-08 08:40,9024,english,,pending
73,2013-01-08 13:36,33,english,,pending
74,2013-01-08 21:11,1,english,,pending
75,2013-01-08 14:45,26,english,,pending
76,2013-01-08 11:05,215,english,,pending
77,2013-01-08 14:21,21,english,,pending
78,2013-01-08 12:58,1,english,2013-01-08 13:00,active
79,2013-01-08 14:28,5870,chinese,,pending
